video_url,video_description,like_count,sentiment,possible_ad,sentiment_suggestion,manual_keep,final_sentiment
https://www.tiktok.com/@manducheekz/video/7647112982488485141,"The older I get, the more I realize that squeaky clean isn’t the goal. Healthy, balanced skin is. 💙 A good cleanser really goes a long way.

#CleanseLikeADerm #CeraVePH #CeraVe",1279,,False,unclear,yes,positive
https://www.tiktok.com/@itsbeverlysworld/video/7637595685910613262,"even if a product is bad, i will always be honest with yall!! and this is just not great under makeup, so i am not a fan of it
#GiftedByCeraVe #CeraVeMineralSunscreen #complimentary #CeraVe @influenster",1387,,False,unclear,yes,negative
https://www.tiktok.com/@tchaoskin/video/7559453084326300959,"Replying to @Tasha T a lot of the common cleansers I’ve tried unfortunately have been extremely underwhelming 🥲

i’m not getting the hype behind this Cerave foaming oil cleanser at all

*pr without oblig to post

#cerave #ceraveskincare #drugstoreskinscare #facecleanser #facialcleanser",5541,,False,unclear,yes,Negative
https://www.tiktok.com/@oritsetemisan/video/7616249158025956630,"My skin barrier was really struggling recently… my skin felt so dry and sensitive. Since using the CeraVe Moisturising Cream, my skin has felt so much more hydrated and calmer already. @CeraVeUKI 💙 #cerave #ceravemoisturizingcream #ceravemoisturiser #cerawardsuki #lorealistarskincident",2786,,False,unclear,yes,positive
https://www.tiktok.com/@natalie_oneillll/video/7472781932615601410,I also rate the whole cerave range in an earlier video ✨ smash or pass Cerave cleansers bc they get so much hype #cerave #affordableskincare #skincareproduct #acneproneskin,31600,,False,unclear,yes,neutral
https://www.tiktok.com/@rubysacne/video/7628636046015646989,Replying to @shelbie_banister17 my thoughts on the new Cerave mineralspf #mineralsunscreen # “Invisible” mineral sunscreen #cerave,1499,,False,neutral,yes,neutral
https://www.tiktok.com/@meredithmlynch/video/6961509061661560070,"",15500,,False,neutral,yes,neutral
https://www.tiktok.com/@dr.derm.love/video/7637266860160879903,#fyp #cetaphil #cerave #cleansers CeraVe v Cetaphil? Which do you like,47,,False,neutral,yes,neutral
https://www.tiktok.com/@prince_kkyy/video/7559045491355389214,RETURNED THAT LOTION REAL QUICK TODAY! 🤢🤢🤢🤢 #cerave #skincare,111,,False,unclear,yes,negative
https://www.tiktok.com/@mellsdiary/video/7275053109515242784,Is CeraVe moisturising cream good for your skin? what should I do next,240,,False,unclear,yes,neutral
